page,page_title,active_visitors
irs.gov/refunds,"Where's My Refund? - It's Quick, Easy and Secure.",14600
irs.gov/,Internal Revenue Service,2656
egov.uscis.gov/casestatus/mycasestatus.do,myUSCIS - Case Status,1247
irs.gov/taxtopics/tc152.html,Tax Topics - Topic 152 Refund Information,1149
weather.gov/,National Weather Service,1142
jpl.nasa.gov/visions-of-the-future/,Visions of the Future,768
irs.gov/forms-&-pubs,Forms & Pubs,719
socialsecurity.gov/,The United States Social Security Administration,711
noaa.gov/,NOAA - National Oceanic and Atmospheric Administration,678
usajobs.gov/,USAJOBS - The Federal Governmentâ€™s Official Jobs Site,571
applicationmanager.gov/application.aspx,Application Manager,555
ssa.gov/,The United States Social Security Administration,548
irs.gov/individuals/electronic-filing-pin-request,Get Your Electronic Filing PIN,536
usda.gov/wps/portal/usda/usdahome,U.S. Department of Agriculture,505
earthquake.usgs.gov/earthquakes/map/,Earthquakes,493
socialsecurity.gov/myaccount/,mySS - Home,423
ebenefits.va.gov/ebenefits/homepage,Home - eBenefits,418
travel.state.gov/content/passports/en/passports/apply.html,How to Apply for a Passport,383
uscis.gov/,Homepage | USCIS,340
ssa.gov/myaccount/,mySS - Home,327
gsa.gov/portal/category/100120,Per Diem Rates Look-Up,308
forecast.weather.gov/mapclick.php,National Weather Service,305
myhealth.va.gov/index.html,My HealtheVet - The Gateway to Veteran Health and Wellness,301
irs.gov/uac/telephone-assistance,Telephone Assistance,295
socialsecurity.gov/myaccount/lp/landing-page-rome.html,Manage Your Benefits With A my Social Security Account,294
irs.gov/individuals/get-transcript,Get Transcript,293
e-verify.uscis.gov/emp/vislogin.aspx?js=yes,E-Verify - Login Agreement,281
usajobs.gov/search/getadvancedsearchresults,USAJOBS - The Federal Governmentâ€™s Official Jobs Site,276
travel.state.gov/content/passports/en/passports/renew.html,Renew a Passport,271
travel.state.gov/content/passports/en/passports/information/fees.html,Fees,264
egov.uscis.gov/casestatus/landing.do,myUSCIS - Case Status Search,261
irs.gov/individuals/when-is-where's-my-refund-available,When is Where's My Refund Available?,251
studentaid.ed.gov/sa/fafsa/filling-out/fsaid,The FSA ID | Federal Student Aid,238
complaints.donotcall.gov/complaint/complaintcheck.aspx,National Do Not Call Registry,237
tsa.gov/travel/security-screening,Security Screening | Transportation Security Administration,230
