RANK,FREQ,COVERAGE,,Word,Graph
1,102,6.60%,6.60%,THE,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2,57,3.69%,10.29%,TO,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||
3,49,3.17%,13.46%,THAT,|||||||||||||||||||||||||||||||||||||||||||||||||
4,36,2.33%,15.79%,IN,||||||||||||||||||||||||||||||||||||
5,30,1.94%,17.73%,OF,||||||||||||||||||||||||||||||
6,29,1.88%,19.61%,AND,|||||||||||||||||||||||||||||
7,29,1.88%,21.49%,IS,|||||||||||||||||||||||||||||
8,24,1.55%,23.04%,I,||||||||||||||||||||||||
9,23,1.49%,24.53%,A,|||||||||||||||||||||||
10,22,1.42%,25.95%,IT,||||||||||||||||||||||
11,20,1.29%,27.24%,CHINA,||||||||||||||||||||
12,20,1.29%,28.53%,NUMBER,||||||||||||||||||||
13,19,1.23%,29.76%,HAVE,|||||||||||||||||||
14,17,1.10%,30.86%,NOT,|||||||||||||||||
15,16,1.04%,31.90%,WE,||||||||||||||||
16,15,0.97%,32.87%,WILL,|||||||||||||||
17,14,0.91%,33.78%,WOULD,||||||||||||||
18,13,0.84%,34.62%,THIS,|||||||||||||
19,12,0.78%,35.40%,CLIMATE,||||||||||||
20,12,0.78%,36.18%,THEY,||||||||||||
21,11,0.71%,36.89%,ARE,|||||||||||
22,11,0.71%,37.60%,EMISSIONS,|||||||||||
23,11,0.71%,38.31%,FOR,|||||||||||
24,10,0.65%,38.96%,CHANGE,||||||||||
25,10,0.65%,39.61%,PRESIDENT,||||||||||
26,10,0.65%,40.26%,SENATE,||||||||||
27,10,0.65%,40.91%,UNITED,||||||||||
28,9,0.58%,41.49%,AS,|||||||||
29,9,0.58%,42.07%,COUNTRIES,|||||||||
30,9,0.58%,42.65%,ON,|||||||||
31,9,0.58%,43.23%,WAS,|||||||||
32,8,0.52%,43.75%,ALL,||||||||
33,8,0.52%,44.27%,SAID,||||||||
34,8,0.52%,44.79%,SO,||||||||
35,7,0.45%,45.24%,ANY,|||||||
36,7,0.45%,45.69%,BE,|||||||
37,7,0.45%,46.14%,DEVELOPING,|||||||
38,7,0.45%,46.59%,STATES,|||||||
39,7,0.45%,47.04%,TREATY,|||||||
40,7,0.45%,47.49%,WERE,|||||||
41,6,0.39%,47.88%,BY,||||||
42,6,0.39%,48.27%,FAILURE,||||||
43,6,0.39%,48.66%,FROM,||||||
44,6,0.39%,49.05%,INTERNATIONAL,||||||
45,6,0.39%,49.44%,OBAMA,||||||
46,6,0.39%,49.83%,OVER,||||||
47,6,0.39%,50.22%,TAX,||||||
48,5,0.32%,50.54%,ABOUT,|||||
49,5,0.32%,50.86%,ADMINISTRATION,|||||
50,5,0.32%,51.18%,AGREEMENT,|||||
51,5,0.32%,51.50%,AT,|||||
52,5,0.32%,51.82%,BACK,|||||
53,5,0.32%,52.14%,GLOBAL,|||||
54,5,0.32%,52.46%,GOING,|||||
55,5,0.32%,52.78%,HAS,|||||
56,5,0.32%,53.10%,HE,|||||
57,5,0.32%,53.42%,INCREASE,|||||
58,5,0.32%,53.74%,NATIONS,|||||
59,5,0.32%,54.06%,NOW,|||||
60,5,0.32%,54.38%,OTHER,|||||
61,5,0.32%,54.70%,PASS,|||||
62,5,0.32%,55.02%,REDUCTIONS,|||||
63,4,0.26%,55.28%,DID,||||
64,4,0.26%,55.54%,DO,||||
65,4,0.26%,55.80%,IF,||||
66,4,0.26%,56.06%,INDIA,||||
67,4,0.26%,56.32%,ME,||||
68,4,0.26%,56.58%,MEAN,||||
69,4,0.26%,56.84%,MR,||||
70,4,0.26%,57.10%,ONE,||||
71,4,0.26%,57.36%,OR,||||
72,4,0.26%,57.62%,PERCENT,||||
73,4,0.26%,57.88%,REDUCTION,||||
74,4,0.26%,58.14%,SAY,||||
75,4,0.26%,58.40%,SUCCESS,||||
76,4,0.26%,58.66%,US,||||
77,4,0.26%,58.92%,WHERE,||||
78,3,0.19%,59.11%,$NUMBER,|||
79,3,0.19%,59.30%,ABSOLUTE,|||
80,3,0.19%,59.49%,ACCEPT,|||
81,3,0.19%,59.68%,AFTER,|||
82,3,0.19%,59.87%,AGREE,|||
83,3,0.19%,60.06%,AN,|||
84,3,0.19%,60.25%,ANYTHING,|||
85,3,0.19%,60.44%,BECAUSE,|||
86,3,0.19%,60.63%,BEEN,|||
87,3,0.19%,60.82%,BINDING,|||
88,3,0.19%,61.01%,CALL,|||
89,3,0.19%,61.20%,CAN,|||
90,3,0.19%,61.39%,CAP,|||
91,3,0.19%,61.58%,COMING,|||
92,3,0.19%,61.77%,COPENHAGEN,|||
93,3,0.19%,61.96%,CUTS,|||
94,3,0.19%,62.15%,DIFFERENT,|||
95,3,0.19%,62.34%,ECONOMIC,|||
96,3,0.19%,62.53%,EFFECT,|||
97,3,0.19%,62.72%,FLOOR,|||
98,3,0.19%,62.91%,GO,|||
99,3,0.19%,63.10%,GORE,|||
100,3,0.19%,63.29%,HAD,|||
101,3,0.19%,63.48%,HEAR,|||
102,3,0.19%,63.67%,INCREASED,|||
103,3,0.19%,63.86%,KYOTO,|||
104,3,0.19%,64.05%,LET,|||
105,3,0.19%,64.24%,LET'S,|||
106,3,0.19%,64.43%,MAKE,|||
107,3,0.19%,64.62%,MARKEY,|||
108,3,0.19%,64.81%,NEW,|||
109,3,0.19%,65.00%,NO,|||
110,3,0.19%,65.19%,ONLY,|||
111,3,0.19%,65.38%,PLAN,|||
112,3,0.19%,65.57%,POSITION,|||
113,3,0.19%,65.76%,REDUCE,|||
114,3,0.19%,65.95%,RIGHT,|||
115,3,0.19%,66.14%,SAME,|||
116,3,0.19%,66.33%,SAYING,|||
117,3,0.19%,66.52%,SOME,|||
118,3,0.19%,66.71%,SOMETHING,|||
119,3,0.19%,66.90%,SPEECH,|||
120,3,0.19%,67.09%,SPEECHES,|||
